median,min,max,overlap,idx
45,44,70,0.99675,1
45,44,67,0.99745,1
45,44,68,0.99767,1
45,44,69,0.99623,1
45,44,66,0.99749,1
45,44,78,0.99733,1
45,44,65,0.99614,1
45,44,64,0.99725,1
45,44,69,0.99808,1
45,44,66,0.99539,1
45,44,68,0.9959,1
45,44,65,0.99557,1
45,44,67,0.99738,1
45,44,69,0.99512,1
45,44,67,0.99675,1
45,44,67,0.99534,1
45,44,67,0.99412,1
45,44,71,0.99712,1
45,44,64,0.99712,1
45,44,64,0.99633,1
45,44,66,0.99714,1
45,44,69,0.99518,1
45,44,68,0.99704,1
45,44,65,0.99618,1
45,44,67,0.99623,1
45,44,69,0.99761,1
45,44,64,0.99407,1
45,44,71,0.99647,1
45,44,67,0.99653,1
45,44,73,0.99638,1
45,44,68,0.99795,1
45,44,68,0.99594,1
45,44,66,0.99434,1
45,44,74,0.9957,1
45,44,68,0.99401,1
45,44,70,0.99597,1
45,44,66,0.99692,1
45,44,66,0.99753,1
45,44,69,0.99658,1
45,44,68,0.99651,1
45,44,66,0.9976,1
45,44,69,0.99594,1
45,44,64,0.99506,1
45,44,66,0.99796,1
45,44,66,0.99705,1
45,44,68,0.99535,1
45,44,70,0.99651,1
45,44,71,0.99654,1
45,44,67,0.99677,1
45,44,75,0.99508,1
45,44,69,0.99778,1
45,44,66,0.99499,1
45,44,73,0.99629,1
45,44,70,0.99643,1
45,44,66,0.99472,1
45,44,65,0.99502,1
45,44,68,0.99686,1
45,44,66,0.99699,1
45,44,66,0.99791,1
45,44,69,0.9971,1
45,44,66,0.99736,1
45,44,68,0.99442,1
45,44,66,0.99736,1
45,44,66,0.99628,1
45,44,72,0.99745,1
45,44,66,0.99644,1
45,44,70,0.99654,1
45,44,67,0.99752,1
45,44,67,0.99687,1
45,44,64,0.99642,1
45,44,72,0.99729,1
45,44,65,0.99372,1
45,44,67,0.99628,1
45,44,70,0.99693,1
45,44,68,0.99416,1
45,44,69,0.99608,1
45,44,69,0.99726,1
45,44,73,0.99378,1
45,44,70,0.99541,1
45,44,69,0.99573,1
45,44,67,0.9959,1
45,44,66,0.99709,1
45,44,66,0.99754,1
45,44,77,0.99713,1
45,44,69,0.99528,1
45,44,68,0.99627,1
45,44,64,0.99751,1
45,44,70,0.99757,1
45,44,65,0.99564,1
45,44,71,0.99495,1
45,44,70,0.99746,1
45,44,68,0.99843,1
45,44,65,0.99677,1
45,44,71,0.99772,1
45,44,70,0.99723,1
45,44,68,0.99709,1
45,44,68,0.99648,1
45,44,65,0.9968,1
45,44,71,0.99711,1
45,44,65,0.99645,1
45,44,66,0.99658,1
45,44,64,0.997,1
45,44,67,0.99781,1
45,44,68,0.99699,1
45,44,67,0.99742,1
45,44,67,0.99489,1
45,44,67,0.9974,1
45,44,67,0.9966,1
45,44,65,0.99585,1
45,44,65,0.99547,1
45,44,68,0.99643,1
45,44,67,0.99682,1
45,44,70,0.9943,1
45,44,69,0.9969,1
45,44,73,0.9956,1
45,44,67,0.99599,1
45,44,70,0.99694,1
45,44,67,0.99434,1
45,44,66,0.99549,1
45,44,68,0.99422,1
45,44,66,0.99442,1
45,44,67,0.99634,1
45,44,67,0.99385,1
45,44,68,0.99761,1
45,44,70,0.99525,1
45,44,67,0.99708,1
45,44,67,0.99788,1
45,44,68,0.99542,1
45,44,69,0.99752,1
45,44,69,0.99671,1
45,44,68,0.99629,1
45,44,75,0.99635,1
45,44,71,0.99662,1
45,44,71,0.99779,1
45,44,66,0.99789,1
45,44,71,0.997,1
45,44,69,0.99654,1
45,44,67,0.99754,1
45,44,65,0.99729,1
45,44,73,0.99519,1
45,44,67,0.99368,1
45,44,70,0.99672,1
45,44,66,0.99653,1
45,44,66,0.99632,1
45,44,75,0.99699,1
45,44,67,0.99259,1
45,44,69,0.99719,1
45,44,68,0.99724,1
45,44,66,0.99719,1
45,44,73,0.99721,1
45,44,72,0.99456,1
45,44,70,0.99792,1
45,44,70,0.99488,1
45,44,68,0.99598,1
45,44,76,0.99736,1
45,44,67,0.99717,1
45,44,65,0.99772,1
45,44,66,0.99727,1
45,44,67,0.99753,1
45,44,66,0.99667,1
45,44,74,0.99704,1
45,44,66,0.99504,1
45,44,67,0.99641,1
45,44,66,0.99811,1
45,44,66,0.99662,1
45,44,69,0.99725,1
45,44,65,0.99692,1
45,44,72,0.99639,1
45,44,73,0.9981,1
45,44,64,0.9959,1
45,44,70,0.99707,1
45,44,65,0.99704,1
45,44,70,0.99722,1
45,44,68,0.99762,1
45,44,68,0.99725,1
45,44,66,0.99646,1
45,44,69,0.99402,1
45,44,65,0.99595,1
45,44,69,0.99503,1
45,44,66,0.99781,1
45,44,67,0.99615,1
45,44,66,0.99722,1
45,44,66,0.9974,1
45,44,64,0.99699,1
45,44,66,0.99571,1
45,44,71,0.99508,1
45,44,66,0.99703,1
45,44,67,0.99558,1
45,44,68,0.99729,1
45,44,68,0.99576,1
45,44,68,0.99805,1
45,44,66,0.99555,1
45,44,69,0.99718,1
45,44,71,0.99661,1
45,44,68,0.9953,1
45,44,66,0.99727,1
45,44,68,0.997,1
45,44,67,0.99796,1
45,44,71,0.99786,1
45,44,66,0.99713,1
45,44,68,0.99509,1
45,44,67,0.99711,1
45,44,73,0.99505,1
45,44,68,0.9973,1
45,44,70,0.99583,1
45,44,72,0.99554,1
45,44,67,0.99635,1
45,44,70,0.99581,1
45,44,63,0.99655,1
45,44,67,0.99356,1
45,44,71,0.99803,1
45,44,67,0.99779,1
45,44,70,0.99665,1
45,44,69,0.9969,1
45,44,66,0.99571,1
45,44,71,0.99643,1
45,44,66,0.99672,1
45,44,65,0.99742,1
45,44,66,0.99331,1
45,44,70,0.99683,1
45,44,68,0.99613,1
45,44,69,0.99789,1
